,RowID,Project,Date,Time,Location,Species,Race_table,Genetics,Genetics_old,Genetics_specific,Genetics_conf,Adipose,Fork_length_mm,Weight_g,ID,Photo,Tissue_sample,Method,Handling,Specimen,Comment,
11,118,Willow Bend 2023,1/9/2023,12:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A011,Fall,,Present,38,0.45,SBP23A011,3216,YES,Seine,"Measure, genetics, and euthanize",YES,,
12,119,Willow Bend 2023,1/9/2023,12:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A012,Fall,,Present,38,0.41,SBP23A012,3217,YES,Seine,"Measure, genetics, and euthanize",YES,,
13,122,Willow Bend 2023,1/9/2023,14:00,Willow Bend outlet,Chinook,Late-fall,Fall,CHIN_CaCV_SBP23A013,Fall,,Clipped,104,11.39,SBP23A013,3218,YES,Seine,"Measure, genetics, and release",NO,,
14,123,Willow Bend 2023,1/9/2023,14:00,Willow Bend outlet,Chinook,Late-fall,,,,,Present,106,11.98,SBP23A014,2319,YES,Seine,"Measure, genetics, and release",NO,,
15,124,Willow Bend 2023,1/9/2023,14:00,Willow Bend outlet,Chinook,Fall,Fall,CHIN_CaCV_SBP23A015,Fall,,Present,38,0.37,SBP23A015,3220,YES,Seine,"Measure, genetics, and euthanize",YES,,
16,127,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A016,Fall,,Present,38,0.4,SBP23A016,3223,YES,Seine,"Measure, genetics, and euthanize",YES,,
17,128,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A017,Fall,,Present,37,0.37,SBP23A017,3224,YES,Seine,"Measure, genetics, and euthanize",YES,,
18,129,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A018,Fall,,Present,38,0.4,SBP23A018,3225,YES,Seine,"Measure, genetics, and euthanize",YES,,
19,130,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A019,Fall,,Present,40,0.61,SBP23A019,3226,YES,Seine,"Measure, genetics, and euthanize",YES,,
20,131,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,,CHIN_CaCV_SBP23A020,No Call,,Present,37,0.3,SBP23A020,3227,YES,Seine,"Measure, genetics, and release",NO,,
21,132,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A021,Fall,,Present,37,0.41,SBP23A021,3228,YES,Seine,"Measure, genetics, and release",NO,,
22,133,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A022,Fall,,Present,38,0.43,SBP23A022,3229,YES,Seine,"Measure, genetics, and release",NO,,
23,134,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A023,Fall,,Present,37,0.34,SBP23A023,3230,YES,Seine,"Measure, genetics, and release",NO,,
24,135,Willow Bend 2023,1/11/2023,9:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A024,Fall,,Present,37,0.35,SBP23A024,3231,YES,Seine,"Measure, genetics, and release",NO,,
25,136,Sutter Bypass 2023,1/11/2023,10:45,Sacramento River side channel ds Willow Bend,Chinook,Fall,Spring,CHIN_CaCV_SBP23A025,SpMill_Deer,,Present,41,0.54,SBP23A025,3232,YES,Seine,"Measure, genetics, and euthanize",YES,,
26,137,Sutter Bypass 2023,1/11/2023,10:45,Sacramento River side channel ds Willow Bend,Chinook,Fall,Spring,CHIN_CaCV_SBP23A026,SpMill_Deer,,Present,37,0.36,SBP23A026,3233,YES,Seine,"Measure, genetics, and euthanize",YES,,
27,138,Sutter Bypass 2023,1/11/2023,10:45,Sacramento River side channel ds Willow Bend,Chinook,Fall,Fall,CHIN_CaCV_SBP23A027,Fall,,Present,35,0.29,SBP23A027,3234,YES,Seine,"Measure, genetics, and euthanize",YES,,
28,139,Sutter Bypass 2023,1/11/2023,10:45,Sacramento River side channel ds Willow Bend,Chinook,Fall,Fall,CHIN_CaCV_SBP23A028,Fall,,Present,37,0.41,SBP23A028,3235,YES,Seine,"Measure, genetics, and release",NO,,
29,218,Sutter Bypass 2023,1/11/2023,14:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Spring,,,,,Present,43,0.81,SBP23A029,3236,YES,Seine,"Measure, genetics, and release",NO,,
30,219,Sutter Bypass 2023,1/11/2023,14:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Spring,CHIN_CaCV_SBP23A030,SpMill_Deer,,Present,38,0.43,SBP23A030,3237,YES,Seine,"Measure, genetics, and euthanize",YES,,
31,220,Sutter Bypass 2023,1/11/2023,14:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Fall,CHIN_CaCV_SBP23A031,Fall,,Present,37,0.34,SBP23A031,3238,YES,Seine,"Measure, genetics, and euthanize",YES,,
32,221,Sutter Bypass 2023,1/11/2023,14:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Fall,CHIN_CaCV_SBP23A032,Fall,,Present,36,0.31,SBP23A032,3239,YES,Seine,"Measure, genetics, and euthanize",YES,,
33,222,Sutter Bypass 2023,1/11/2023,14:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Fall,CHIN_CaCV_SBP23A033,Fall,,Present,38,0.38,SBP23A033,3240,YES,Seine,"Measure, genetics, and release",NO,,
34,282,Sutter Bypass 2023,1/17/2023,8:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Fall,CHIN_CaCV_SBP23A034,Fall,,Present,39,0.44,SBP23A034,3245,YES,Seine,"Measure, genetics, and euthanize",YES,,
35,283,Sutter Bypass 2023,1/17/2023,8:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Fall,CHIN_CaCV_SBP23A035,Fall,,Present,36,0.3,SBP23A035,3247,YES,Seine,"Measure, genetics, and euthanize",YES,,
36,284,Sutter Bypass 2023,1/17/2023,8:30,Tisdale Bypass at Reclamation Road bridge,Chinook,Fall,Fall,CHIN_CaCV_SBP23A036,Fall,,Present,37,0.37,SBP23A036,3248,YES,Seine,"Measure, genetics, and euthanize",YES,,
37,321,Willow Bend 2023,1/17/2023,12:00,Willow Bend outlet,Chinook,Fall,No Call,CHIN_CaCV_SBP23A037,No Call,,Present,40,0.56,SBP23A037,3249,YES,Seine,"Measure, genetics, and euthanize",YES,,
38,322,Willow Bend 2023,1/17/2023,12:00,Willow Bend outlet,Chinook,Fall,Fall,CHIN_CaCV_SBP23A038,Fall,,Present,37,0.38,SBP23A038,2351,YES,Seine,"Measure, genetics, and euthanize",YES,,
39,323,Willow Bend 2023,1/17/2023,12:00,Willow Bend outlet,Chinook,Fall,Fall,CHIN_CaCV_SBP23A039,Fall,,Present,38,0.4,SBP23A039,3252,YES,Seine,"Measure, genetics, and euthanize",YES,,
40,324,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A040,Fall,,Present,42,0.68,SBP23A040,3253,YES,Seine,"Measure, genetics, and euthanize",YES,,
41,325,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A041,Fall,,Present,43,0.65,SBP23A041,3254,YES,Seine,"Measure, genetics, and euthanize",YES,,
42,326,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A042,Fall,,Present,42,0.61,SBP23A042,3255,YES,Seine,"Measure, genetics, and euthanize",YES,,
43,327,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A043,Fall,,Present,41,0.6,SBP23A043,3256,YES,Seine,"Measure, genetics, and release",NO,,
44,328,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A044,Fall,,Present,39,0.51,SBP23A044,3257,YES,Seine,"Measure, genetics, and release",NO,,
45,329,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A045,Fall,,Present,39,0.41,SBP23A045,3258,YES,Seine,"Measure, genetics, and release",NO,,
46,330,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A046,Fall,,Present,36,0.36,SBP23A046,3259,YES,Seine,"Measure, genetics, and release",NO,,
47,331,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A047,Fall,,Present,42,0.61,SBP23A047,3260,YES,Seine,"Measure, genetics, and release",NO,,
48,332,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A048,Fall,,Present,38,0.48,SBP23A048,3261,YES,Seine,"Measure, genetics, and release",NO,,
49,333,Willow Bend 2023,1/17/2023,13:20,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A049,Fall,,Present,36,0.35,SBP23A049,3262,YES,Seine,"Measure, genetics, and release",NO,,
50,339,Willow Bend 2023,1/18/2023,14:45,Willow Bend outlet,Chinook,Fall,Fall,CHIN_CaCV_SBP23A050,Fall,,Present,36,0.34,SBP23A050,3263,YES,Seine,"Measure, genetics, and euthanize",YES,,
51,340,Willow Bend 2023,1/18/2023,14:45,Willow Bend outlet,Chinook,Fall,Fall,CHIN_CaCV_SBP23A051,Fall,,Present,36,0.33,SBP23A051,,YES,Seine,"Measure, genetics, and euthanize",YES,,
52,341,Willow Bend 2023,1/18/2023,14:45,Willow Bend outlet,Chinook,Fall,Fall,CHIN_CaCV_SBP23A052,Fall,,Present,41,0.5,SBP23A052,3264,YES,Seine,"Measure, genetics, and euthanize",YES,,
53,378,Sutter Bypass 2023,1/19/2023,10:45,Colusa Weir,Chinook,Winter,,,,,Present,69,3.72,SBP23A053,3267,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
54,379,Sutter Bypass 2023,1/19/2023,10:45,Colusa Weir,Chinook,Late-fall,Fall,CHIN_CaCV_SBP23A054,Fall,,Partial,117,15.17,SBP23A054,3268,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
55,380,Sutter Bypass 2023,1/19/2023,10:45,Colusa Weir,Chinook,Winter,,,,,Present,94,9.3,SBP23A055,3269,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
56,381,Sutter Bypass 2023,1/19/2023,10:45,Colusa Weir,Chinook,Winter,,,,,Present,88,7.31,SBP23A056,3270,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
57,385,Sutter Bypass 2023,1/19/2023,12:10,Moulton Weir,Chinook,Fall,Fall,CHIN_CaCV_SBP23A057,Fall,,Present,41,0.47,SBP23A057,3273,YES,Seine,"Measure, genetics, and euthanize",YES,Check time with Misa,
58,419,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Spring,,,,,Present,55,1.68,SBP23A058,3275,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
59,420,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A059,Fall,,Present,40,0.55,SBP23A059,3276,YES,Seine,"Measure, genetics, and euthanize",YES,Check time with Misa,
60,421,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A060,Fall,,Present,40,0.48,SBP23A060,3277,YES,Seine,"Measure, genetics, and euthanize",YES,Check time with Misa,
61,422,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A061,Fall,,Present,37,0.36,SBP23A061,3278,YES,Seine,"Measure, genetics, and euthanize",YES,Check time with Misa,
62,423,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A062,Fall,,Present,37,0.42,SBP23A062,3279,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
63,424,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A063,Fall,,Present,36,0.36,SBP23A063,3280,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
64,425,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A064,Fall,,Present,37,0.42,SBP23A064,3281,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
65,426,Willow Bend 2023,1/19/2023,14:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A065,Fall,,Present,36,0.37,SBP23A065,3282,YES,Seine,"Measure, genetics, and release",NO,Check time with Misa,
66,568,Willow Bend 2023,1/20/2023,9:40,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A066,Fall,,Present,38,0.36,SBP23A066,3283,YES,Fyke,"Measure, genetics, and euthanize",YES,,
67,569,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A067,Fall,,Present,40,0.48,SBP23A067,3284,YES,Seine,"Measure, genetics, and euthanize",YES,,
68,570,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A068,Fall,,Present,37,0.4,SBP23A068,3285,YES,Seine,"Measure, genetics, and euthanize",YES,,
69,571,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A069,Fall,,Present,39,0.42,SBP23A069,3286,YES,Seine,"Measure, genetics, and release",NO,,
70,572,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A070,Fall,,Present,37,0.37,SBP23A070,3287,YES,Seine,"Measure, genetics, and release",NO,,
71,573,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A071,Fall,,Present,37,0.45,SBP23A071,3288,YES,Seine,"Measure, genetics, and release",NO,,
72,574,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A072,Fall,,Present,36,0.4,SBP23A072,3289,YES,Seine,"Measure, genetics, and release",NO,,
73,575,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A073,Fall,,Present,34,0.3,SBP23A073,3290,YES,Seine,"Measure, genetics, and release",NO,,
74,576,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A074,Fall,,Present,39,0.43,SBP23A074,3291,YES,Seine,"Measure, genetics, and release",NO,,
75,577,Willow Bend 2023,1/20/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A075,Fall,,Present,38,0.44,SBP23A075,3292,YES,Seine,"Measure, genetics, and release",NO,,
76,627,Sutter Bypass 2023,1/20/2023,12:30,Colusa Weir,Chinook,Fall,Fall,CHIN_CaCV_SBP23A078,Fall,,Present,45,0.84,SBP23A078,3295,YES,Seine,"Measure, genetics, and euthanize",YES,Have specimen,
77,628,Sutter Bypass 2023,1/20/2023,12:30,Colusa Weir,Chinook,Winter,,,,,Present,92,7.76,SBP23A079,3296,YES,Seine,"Measure, genetics, and release",NO,,
78,629,Sutter Bypass 2023,1/20/2023,12:30,Colusa Weir,Chinook,Late-fall,Fall,CHIN_CaCV_SBP23A080,Fall,,Clipped,122,17.79,SBP23A080,3297,YES,Seine,"Measure, genetics, and release",NO,,
79,630,Sutter Bypass 2023,1/20/2023,12:30,Colusa Weir,Chinook,Fall,Fall,CHIN_CaCV_SBP23A081,Fall,,Present,37,0.4,SBP23A081,3298,YES,Seine,"Measure, genetics, and euthanize",YES,,
80,637,Willow Bend 2023,1/23/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A082,Fall,,Present,41,0.54,SBP23A082,3300,YES,Seine,"Measure, genetics, and euthanize",YES,,
81,638,Willow Bend 2023,1/23/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A083,Fall,,Present,39,0.51,SBP23A083,3301,YES,Seine,"Measure, genetics, and euthanize",YES,,
82,639,Willow Bend 2023,1/23/2023,11:00,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A084,Fall,,Present,40,0.5,SBP23A084,3302,YES,Seine,"Measure, genetics, and euthanize",YES,,
83,640,Willow Bend 2023,1/23/2023,11:00,Willow Bend East side,Chinook,Spring,,,,,Present,52,1.26,SBP23A085,3303,YES,Seine,"Measure, genetics, and release",NO,,
84,641,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Spring,,,,,Present,61,2.16,SBP23A086,3304,YES,Seine,"Measure, genetics, and release",NO,,
85,642,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A087,Fall,,Present,39,0.47,SBP23A087,3305,YES,Seine,"Measure, genetics, and euthanize",YES,,
86,643,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A088,Fall,,Present,41,0.62,SBP23A088,3306,YES,Seine,"Measure, genetics, and euthanize",YES,,
87,644,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A089,Fall,,Present,40,0.55,SBP23A089,3307,YES,Seine,"Measure, genetics, and euthanize",YES,,
88,645,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A090,Fall,,Present,39,0.43,SBP23A090,3308,YES,Seine,"Measure, genetics, and release",NO,,
89,646,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A091,Fall,,Present,38,0.41,SBP23A091,3309,YES,Seine,"Measure, genetics, and release",NO,,
90,647,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A092,Fall,,Present,41,0.52,SBP23A092,3310,YES,Seine,"Measure, genetics, and release",NO,,
91,648,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A093,Fall,,Present,37,0.39,SBP23A093,3311,YES,Seine,"Measure, genetics, and release",NO,,
92,649,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A094,Fall,,Present,38,0.4,SBP23A094,3312,YES,Seine,"Measure, genetics, and release",NO,,
93,650,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A095,Fall,,Present,39,0.5,SBP23A095,3313,YES,Seine,"Measure, genetics, and release",NO,,
94,651,Sutter Bypass 2023,1/23/2023,13:30,Laux Road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A096,Fall,,Present,38,0.43,SBP23A096,3314,YES,Seine,"Measure, genetics, and release",NO,,
95,698,Willow Bend 2023,1/24/2023,10:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A097,Fall,,Present,37,0.36,SBP23A097,3315,YES,Fyke,"Measure, genetics, and euthanize",YES,,
96,699,Willow Bend 2023,1/24/2023,10:10,Willow Bend East side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A098,Fall,,Present,39,0.47,SBP23A098,3316,YES,Fyke,"Measure, genetics, and euthanize",YES,,
97,704,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A099,Fall,,Present,38,0.38,SBP23A099,3317,YES,Seine,"Measure, genetics, and euthanize",YES,DOA,
98,705,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A100,Fall,,Present,44,0.72,SBP23A100,3318,YES,Seine,"Measure, genetics, and euthanize",YES,,
99,706,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A101,Fall,,Present,39,0.45,SBP23A101,3319,YES,Seine,"Measure, genetics, and release",NO,,
100,707,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A102,Fall,,Present,42,0.62,SBP23A102,3320,YES,Seine,"Measure, genetics, and release",NO,,
101,708,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A103,Fall,,Present,36,0.33,SBP23A103,3321,YES,Seine,"Measure, genetics, and release",NO,,
102,709,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A104,Fall,,Present,36,0.41,SBP23A104,3322,YES,Seine,"Measure, genetics, and release",NO,,
103,710,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A105,Fall,,Present,39,0.46,SBP23A105,3323,YES,Seine,"Measure, genetics, and release",NO,,
104,711,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A106,Fall,,Present,41,0.56,SBP23A106,3324,YES,Seine,"Measure, genetics, and release",NO,,
105,712,Willow Bend 2023,1/24/2023,11:10,Willow Bend swale,Chinook,Fall,Fall,CHIN_CaCV_SBP23A107,Fall,,Present,39,0.5,SBP23A107,3325,YES,Seine,"Measure, genetics, and release",NO,,
106,714,Sutter Bypass 2023,1/24/2023,13:13,Butte Sink north wetland at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A108,SpButte,,Present,41,0.51,SBP23A108,3326,YES,Seine,"Measure, genetics, and euthanize",YES,,
107,718,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A109,SpButte,,Present,46,0.89,SBP23A109,3328,YES,Seine,"Measure, genetics, and euthanize",YES,,
108,719,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A110,SpMill_Deer,,Present,42,0.63,SBP23A110,3329,YES,Seine,"Measure, genetics, and euthanize",YES,,
109,720,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A111,SpButte,,Present,42,0.6,SBP23A111,3330,YES,Seine,"Measure, genetics, and euthanize",YES,,
110,721,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Spring,Spring,CHIN_CaCV_SBP23A112,SpButte,,Present,47,0.91,SBP23A112,3331,YES,Seine,"Measure, genetics, and release",NO,,
111,722,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A113,SpButte,,Present,46,0.85,SBP23A113,3332,YES,Seine,"Measure, genetics, and release",NO,,
112,723,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A114,SpButte,,Present,42,0.58,SBP23A114,3333,YES,Seine,"Measure, genetics, and release",NO,,
113,724,Sutter Bypass 2023,1/24/2023,13:00,Butte Creek at Mallard Ranch,Chinook,Fall,Spring,CHIN_CaCV_SBP23A115,SpButte,,Present,40,0.54,SBP23A115,3334,YES,Seine,"Measure, genetics, and release",NO,,
114,735,Sutter Bypass 2023,1/26/2023,8:47,Refuge southern wetland,Chinook,Fall,Fall,CHIN_CaCV_SBP23A116,Fall,,Present,46,0.86,SBP23A116,3338,YES,Seine,"Measure, genetics, and euthanize",YES,,
115,736,Sutter Bypass 2023,1/26/2023,8:47,Refuge southern wetland,Chinook,Fall,Fall,CHIN_CaCV_SBP23A117,Fall,,Present,41,0.57,SBP23A117,3339,YES,Seine,"Measure, genetics, and euthanize",YES,,
116,737,Sutter Bypass 2023,1/26/2023,8:47,Refuge southern wetland,Chinook,Fall,Fall,CHIN_CaCV_SBP23A118,Fall,,Present,45,0.82,SBP23A118,3340,YES,Seine,"Measure, genetics, and euthanize",YES,,
117,738,Sutter Bypass 2023,1/26/2023,8:47,Refuge southern wetland,Chinook,Spring,,,,,Present,62,2.57,SBP23A119,3341,YES,Seine,"Measure, genetics, and release",NO,,
118,739,Sutter Bypass 2023,1/26/2023,8:47,Refuge southern wetland,Chinook,Fall,Fall,CHIN_CaCV_SBP23A120,Fall,,Present,42,0.64,SBP23A120,3342,YES,Seine,"Measure, genetics, and release",NO,,
119,740,Sutter Bypass 2023,1/26/2023,8:47,Refuge southern wetland,Chinook,Fall,Fall,CHIN_CaCV_SBP23A121,Fall,,Present,44,0.7,SBP23A121,3343,YES,Seine,"Measure, genetics, and release",NO,,
